Comment,Designator,Footprint,LCSC,Quantity
22uF,C9,C1206,C12891,1
100nf,"C10,C11,C12,C13,C14,C2,C22,C23,C24,C25,C28,C3,C30,C4,C6,C8",C0603,C14663,16
1u,"C15,C29,C31,C5,C7",C0603,C15849,5
CL10B104KA8NNNC,C19,C0603,C1590,1
22pF,"C26,C27",C0603,C1653,2
Rotative encoder,J7,SW-TH_CTR_ED08905M-FE15C7.0-C10-2053,C18213469,1
10uF,"C20,C21",C0603,C19702,2
AO3400A,"Q3,Q4,Q5",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C20917,3
0,"R1,R10,R11,R26,R30,R31,R41",R0603,C21189,7
1K,R25,R0603,C21190,1
SS8050_C2150,Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C2150,1
LIDAR,J2,CONN-TH_6P-P1.25_BX-MX1.25-6PZZ,C22388452,1
OLED Display,J5,CONN-TH_4P-P1.25_WAFER-MX1.25-4PZZ,C22390409,1
100,"R21,R22,R28",R0603,C22775,3
12.4,"R44,R47",R0603,C22786,2
12k,R15,R0603,C22790,1
19.1k,R16,R0603,C22897,1
0805G (Green),"LED2,LED3",LED0805-R-RD,C2297,2
2k,R27,R0603,C22975,1
2M,R58,R0603,C22976,1
300,R6,R0603,C23025,1
470,"R23,R24,R38",R0603,C23179,3
5k1,"R54,R55",R0603,C23186,2
10k,"R17,R18,R29,R3,R4,R40,R43,R46,R50,R51,R52,R53",R0603,C25804,12
USBLC6-2SC6,D1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C2687116,1
ABS06-32.768KHZ-T,X1,OSC-SMD_L2.0-W1.2,C276423,1
TPS63001DRCR,U3,VSON-10_L3.0-W3.0-P0.50-TL-EP_TPS62410DRCR,C28060,1
Batt,J1,CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN,C295747,1
USB,USB1,USB-C-SMD_TYPE-C-16P-1,C2982555,1
MCU,U1,BULETM-SMD_ESP32-S3-MINI-1-N8,C3013941,1
ON/OFF,"J4,J6,LAS1,LAS2,LED5",CONN-SMD_2P-P1.25_XUNPU_WAFER-MX1.25-2PWB,C3029359,5
CL10B106MQ8NRNC,"C16,C17,C18",C0603,C3039698,3
DW01A_C351410,U5,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C351410,1
BUZZER,BUZZER1,BUZ-SMD_FST-5025,C391030,1
2.2k,"R32,R33,R35,R37,R39,R42,R45",R0603,C4190,7
PushButton,SW3,SW-TH_SKHHNJA010,C470264,1
RST,"SW1,SW2",SW-SMD_L3.9-W2.9-P4.15-LS5.0,C493285,2
SLESD4V5S,D4,SOD-323_L1.7-W1.3-LS2.6-RD-1,C5155454,1
BNO085_C5189642,U6,LGA-28_L5.2-W3.8-P0.50-BL,C5189642,1
10nf,C1,C0603,C57112,1
MCP73831T-2DCI/OT,U4,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,C625597,1
LQH3NPN2R2MMEL,L1,IND-SMD_L3.0-W3.0_LQH3NPN2R2NG0L,C668451,1
1N4148,D3,SOD-123F_L2.7-W1.6-LS3.8-RD,C81598,1
SMAJ5.0A-C83329,D2,SMA_L4.3-W2.6-LS5.2-RD,C83329,1
onboard LED,"LED1,LED4",LED0805-R-RD,C84256,2
124k,R14,R0603,C861097,1
19.6k,"R12,R13",R0603,C861185,2
FS8205A_C908265,Q1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C908265,1
BME280,U2,LGA-8_BME280_BL,C92489,1
