Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BUZZER1,BUZZER,BUZ-SMD_FST-5025,165.62,-107.56,90.0,top
C1,10nf,C0603,122.29,-103.92,0.0,top
C10,100nf,C0603,143.3,-91.27,180.0,top
C11,100nf,C0603,158.33,-104.18,-90.0,top
C12,100nf,C0603,146.63,-101.27,0.0,top
C13,100n,C0603,167.21,-99.05,-90.0,top
C14,100n,C0603,165.5,-99.06,-90.0,top
C15,1u,C0603,163.77,-99.09,-90.0,top
C16,CL10B106MQ8NRNC,C0603,136.24,-87.88,180.0,top
C17,CL10B106MQ8NRNC,C0603,136.75,-94.95,180.0,top
C18,CL10B106MQ8NRNC,C0603,136.77,-93.26,180.0,top
C19,CL10B104KA8NNNC,C0603,133.81,-85.69,90.0,top
C2,100nf,C0603,131.71,-108.21,90.0,top
C20,10uF,C0603,124.32,-83.15,-90.0,top
C21,10uF,C0603,143.29,-89.56,0.0,top
C22,100n,C0603,133.9,-78.7,-90.0,top
C23,0.1uF,C0603,144.43,-92.97,0.0,top
C24,0.1uF,C0603,151.89,-90.86,180.0,top
C25,0.1uF,C0603,151.5,-89.15,180.0,top
C26,22pF,C0603,153.91,-92.55,180.0,top
C27,22pF,C0603,153.94,-94.24,180.0,top
C28,100nf,C0603,175.5275,-97.435,0.0,top
C29,1u,C0603,175.52,-99.2,180.0,top
C3,100nf,C0603,125.12,-108.09,90.0,top
C30,100nf,C0603,176.52,-88.76,0.0,top
C31,1u,C0603,176.51,-87.02,180.0,top
C4,100nf,C0603,121.61,-108.11,90.0,top
C5,1u,C0603,131.735,-104.85,90.0,top
C6,100nf,C0603,123.36,-108.11,90.0,top
C7,1u,C0603,125.12,-104.97,90.0,top
C8,100nf,C0603,122.29,-105.67,180.0,top
C9,22uF,C1206,119.52,-105.5,90.0,top
D1,USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,134.52,-100.7,0.0,top
D2,SMAJ5.0A-C83329,SMA_L4.3-W2.6-LS5.2-RD,139.19,-97.3,180.0,top
D3,1N4148,SOD-123F_L2.7-W1.6-LS3.8-RD,170.57,-104.47,180.0,top
D4,SLESD4V5S,SOD-323_L1.7-W1.3-LS2.6-RD-1,139.43,-87.57,180.0,top
J1,Batt,CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN,139.42,-81.91,180.0,top
J2,LIDAR,CONN-TH_6P-P1.25_BX-MX1.25-6PZZ,151.33,-105.595,90.0,top
J4,ON/OFF,CONN-SMD_2P-P1.25_XUNPU_WAFER-MX1.25-2PWB,122.14,-80.4875,180.0,top
J5,OLED Display,CONN-TH_4P-P1.25_WAFER-MX1.25-4PZZ,172.16,-93.98,90.0,top
J6,Piezo,CONN-SMD_2P-P1.25_XUNPU_WAFER-MX1.25-2PWB,174.17,-80.47,180.0,top
J7,Rotative encoder,SW-TH_CTR_ED08905M-FE15C7.0-C10-2053,181.07,-100.38,90.0,top
L1,LQH3NPN2R2MMEL,IND-SMD_L3.0-W3.0_LQH3NPN2R2NG0L,139.94,-90.15,-90.0,top
LAS1,LASER1,CONN-SMD_2P-P1.25_XUNPU_WAFER-MX1.25-2PWB,156.9,-80.62,180.0,top
LAS2,LASER2,CONN-SMD_2P-P1.25_XUNPU_WAFER-MX1.25-2PWB,165.45,-80.52,180.0,top
LED1,onboard LED,LED0805-R-RD,169.61,-86.07,-90.0,top
LED2,0805G (Green),LED0805-R-RD,119.75,-83.75,90.0,top
LED3,GREEN,LED0805-R-RD,150.33,-85.52,90.0,top
LED4,RED,LED0805-R-RD,147.97,-85.52,90.0,top
LED5,ext_LED,CONN-SMD_2P-P1.25_XUNPU_WAFER-MX1.25-2PWB,148.125,-80.62,180.0,top
Q1,FS8205A_C908265,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,131.33,-82.17,0.0,top
Q2,SS8050_C2150,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,170.03,-107.11,0.0,top
Q3,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,153.83,-86.87,0.0,top
Q4,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,159.42,-85.3375,0.0,top
Q5,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,165.055,-85.2775,0.0,top
R1,0,R0603,148.41,-107.95,-90.0,top
R10,0,R0603,157.56,-107.21,90.0,top
R11,0,R0603,148.41,-103.6,90.0,top
R12,19.6k,R0603,157.41,-109.47,0.0,top
R13,19.6k,R0603,159.08,-107.2,90.0,top
R14,124k,R0603,156.69,-104.2,90.0,top
R15,12k,R0603,144.92,-98.09,0.0,top
R16,19.1k,R0603,145.67,-99.64,180.0,top
R17,10k,R0603,163.37,-95.79,90.0,top
R18,10k,R0603,158.65,-100.0,-90.0,top
R21,100,R0603,117.84,-84.45,-90.0,top
R22,100,R0603,136.14,-86.29,0.0,top
R23,470,R0603,152.27,-84.85,-90.0,top
R24,470,R0603,145.97,-86.37,-90.0,top
R25,1K,R0603,127.77,-79.88,180.0,top
R26,0,R0603,145.905,-83.38,90.0,top
R27,2k,R0603,144.375,-83.38,-90.0,top
R28,100,R0603,125.92,-84.18,-90.0,top
R29,10k,R0603,149.22,-89.66,90.0,top
R3,10K,R0603,130.08,-108.26,90.0,top
R30,0,R0603,147.44,-89.56,90.0,top
R31,0,R0603,145.84,-89.58,90.0,top
R32,2.2k,R0603,155.65,-99.56,-90.0,top
R33,2.2k,R0603,161.83,-95.79,90.0,top
R35,2.2k,R0603,154.89,-95.82,180.0,top
R37,2.2k,R0603,154.86,-97.33,180.0,top
R38,470,R0603,170.29,-109.61,0.0,top
R39,2.2k,R0603,157.85,-87.32,-90.0,top
R4,10K,R0603,130.04,-104.91,90.0,top
R40,10k,R0603,156.36,-86.35,-90.0,top
R41,0,R0603,151.52,-82.56,0.0,top
R42,2.2k,R0603,159.325,-88.4775,-90.0,top
R43,10k,R0603,161.955,-86.2575,-90.0,top
R44,12.4,R0603,157.12,-84.0625,0.0,top
R45,2.2k,R0603,161.955,-89.2175,-90.0,top
R46,10k,R0603,163.465,-87.3175,-90.0,top
R47,12.4,R0603,163.46,-83.28,-90.0,top
R50,10K,R0603,175.51,-100.88,0.0,top
R51,10K,R0603,182.0,-95.65,180.0,top
R52,10K,R0603,174.74,-103.29,-90.0,top
R53,10K,R0603,176.46,-90.5,0.0,top
R54,5k1,R0603,140.5,-101.12,-90.0,top
R55,5k1,R0603,142.95,-101.12,-90.0,top
R58,2M,R0603,176.85,-83.12,90.0,top
R6,300,R0603,170.54,-82.89,180.0,top
SW1,RST,SW-SMD_L3.9-W2.9-P4.15-LS5.0,134.36,-106.35,90.0,top
SW2,BOOT,SW-SMD_L3.9-W2.9-P4.15-LS5.0,127.66,-106.38,90.0,top
SW3,PushButton,SW-TH_SKHHNJA010,181.16,-88.08,90.0,top
U1,MCU,BULETM-SMD_ESP32-S3-MINI-1-N8,123.99,-94.01,90.0,top
U2,BME280,LGA-8_BME280_BL,161.11,-98.72,180.0,top
U3,TPS63001DRCR,VSON-10_L3.0-W3.0-P0.50-TL-EP_TPS62410DRCR,136.0325,-90.52,180.0,top
U4,MCP73831T-2DCI/OT,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,143.34,-86.94,180.0,top
U5,DW01A_C351410,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,131.13,-78.8,-90.0,top
U6,BNO085_C5189642,LGA-28_L5.2-W3.8-P0.50-BL,148.18,-94.01,180.0,top
USB1,USB,USB-C-SMD_TYPE-C-16P-1,141.46,-105.8825,0.0,top
X1,ABS06-32.768KHZ-T,OSC-SMD_L2.0-W1.2,151.41,-93.44,-90.0,top
